x,y,z,rad,r,g,b,i,vx,vy,vz
0.112036,0.528529,-0.00161915,0.0727,0.783016,0.589611,0.198103,0.783016,0,0,0
0.165263,0.527729,-0.15637,0.0898,0.531481,0.315272,0.786214,0.531481,0,0,0
-0.250956,-0.3691,-0.654625,0.0504,0.12182,0.982419,0.141468,0.12182,0,0,0
-0.0588523,-0.365407,0.429838,0.0553,0.468844,0.0965784,0.877985,0.468844,0,0,0
0.0827642,0.533038,-0.301041,0.0507,0.681655,0.706379,0.190722,0.681655,0,0,0
-0.270151,0.038673,0.0751065,0.0739,0.599399,0.58861,0.542456,0.599399,0,0,0
-0.113525,0.651913,0.0373208,0.0801,0.186376,0.776566,0.601839,0.186376,0,0,0
-0.0183751,-0.641314,-0.0828918,0.0778,0.585108,0.312756,0.74822,0.585108,0,0,0
-0.0347263,0.701493,-0.00774086,0.0944,0.63396,0.518579,0.573734,0.63396,0,0,0
-0.621416,0.48594,0.128212,0.0664,0.0793907,0.424019,0.902167,0.0793907,0,0,0
0.430111,0.249543,0.147211,0.082,0.501963,0.565445,0.65445,0.501963,0,0,0
-0.452474,-0.0438056,0.432944,0.0934,0.737469,0.561951,0.374634,0.737469,0,0,0
0.0518385,-0.0753793,0.402145,0.0546,0.773579,0.299375,0.558524,0.773579,0,0,0
-0.170946,-0.56826,-0.10167,0.0518,0.775542,0.376914,0.506429,0.775542,0,0,0
0.112969,0.475688,0.112871,0.0786,0.536721,0.82193,0.190688,0.536721,0,0,0
